"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"23540","Gainesville, FL","Midsized",12049,10961,11535,10323,9660,8789,9884,11357,11611,12922,12281,12719,12727,12810,14775,14802,35.0424231365751,0.182741116751269,55,117,24,46
"24340","Grand Rapids-Kentwood, MI","Very Large",37843,34319,34516,28471,29473,29379,30605,32524,32783,34178,34117,36495,32337,34145,40018,36799,7.22631778315219,-8.04388025388575,164,184,46,51
"24540","Greeley, CO","Midsized",10253,8588,8901,7352,8105,7878,8226,8673,8711,8358,8705,9176,7922,7906,8080,8805,2.52678155565906,8.97277227722772,177,17,71,8
"24580","Green Bay, WI","Midsized",15445,13696,13413,10820,10928,10569,11997,13072,13813,15473,14983,15507,13930,14533,16190,17126,25.043808411215,5.78134651019148,100,30,44,17
"24660","Greensboro-High Point, NC","Large",28114,24547,22766,21552,23558,22825,24587,22777,23226,24351,23908,24966,23749,24924,28057,27705,12.86511590011,-1.2545888726521,136,133,42,40
"24860","Greenville-Anderson, SC","Large",32291,27879,28834,24266,25558,24997,27081,29886,30657,33276,32648,36136,35262,36684,39636,40011,43.5166254169805,0.946109597335755,33,104,13,34
"25060","Gulfport-Biloxi, MS","Midsized",13465,12054,12928,11476,11676,11126,12168,13349,13581,14209,14086,14889,13356,13018,16209,15998,32.7194292351087,-1.30174594361157,65,134,29,53
"25180","Hagerstown-Martinsburg, MD-WV","Midsized",10306,8829,8805,7936,8654,8443,8750,9688,9788,10738,11186,12136,10743,10819,11926,12098,37.0257107260165,1.44222706691263,51,93,22,38
"25420","Harrisburg-Carlisle, PA","Large",32231,28298,29185,26824,28110,27321,29797,31646,31207,33854,33993,38562,36561,37360,43194,42361,49.6960915965793,-1.9285085891559,17,142,9,41
"25540","Hartford-East Hartford-Middletown, CT","Very Large",52226,45596,46381,37852,39273,39783,42330,46027,44882,46324,49192,53464,48378,50083,58207,59350,30.1649267479603,1.96368134416823,76,83,17,22
"25860","Hickory-Lenoir-Morganton, NC","Midsized",11011,9912,10247,9156,9623,9062,9595,10833,11198,12061,12137,12025,11196,11495,12336,12618,27.3002421307506,2.28599221789883,89,75,38,34
"26420","Houston-The Woodlands-Sugar Land, TX","Very Large",200152,179177,171454,136347,137086,145832,144576,154239,153814,161203,150749,161104,155814,158755,194362,197840,10.4159574052473,1.78944443872773,149,87,41,24
"26580","Huntington-Ashland, WV-KY-OH","Midsized",11406,9992,10193,9749,9933,10436,10666,11241,11586,12609,13089,14217,12852,12857,14843,14869,48.8090472377902,0.175166745267129,20,118,8,47
"26620","Huntsville, AL","Midsized",23594,19615,19995,17002,17644,17247,18742,18877,20573,21443,21633,22667,20117,20501,21871,21839,11.3382615345399,-0.146312468565681,144,122,62,49
"26900","Indianapolis-Carmel-Anderson, IN","Very Large",97186,83789,81769,62799,67282,69165,73352,79485,79296,82305,83170,86628,79560,81272,92903,94439,12.7104989915144,1.65333735186162,137,89,37,25
"27140","Jackson, MS","Large",22382,19810,20681,18410,19150,18141,19163,20506,20644,20965,20152,21839,19343,19490,21659,21237,7.20343260979303,-1.94838173507549,165,143,50,42
