cbsa,cbsatitle,metrosize,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
39100,"Poughkeepsie-Newburgh-Middletown, NY",Large,0.051,0.055,0.054,0.053,0.053,0.052,-0.3,-0.1,12,34,6,13
39300,"Providence-Warwick, RI-MA",Very Large,0.042,0.043,0.044,0.044,0.044,0.049,0.6,0.5,141,174,48,53
39340,"Provo-Orem, UT",Large,0.039,0.045,0.05,0.049,0.045,0.044,-0.1,-0.1,32,34,12,13
39580,"Raleigh-Cary, NC",Very Large,0.027,0.028,0.026,0.023,0.024,0.025,-0.3,0.1,14,99,2,23
39740,"Reading, PA",Midsized,0.084,0.081,0.082,0.086,0.081,0.082,0.1,0.1,64,99,28,39
39900,"Reno, NV",Midsized,0.056,0.058,0.057,0.059,0.053,0.055,-0.3,0.2,12,124,5,50
40060,"Richmond, VA",Very Large,0.046,0.044,0.044,0.043,0.042,0.043,-0.1,0.1,32,70,6,14
40140,"Riverside-San Bernardino-Ontario, CA",Very Large,0.068,0.068,0.066,0.066,0.074,0.078,1,0.4,165,166,53,51
40220,"Roanoke, VA",Midsized,0.028,0.028,0.026,0.022,0.023,0.025,-0.3,0.2,14,124,6,50
40380,"Rochester, NY",Very Large,0.04,0.042,0.042,0.039,0.039,0.043,0.1,0.4,51,152,12,45
40420,"Rockford, IL",Midsized,0.065,0.067,0.069,0.071,0.071,0.075,0.8,0.4,149,166,57,65
40900,"Sacramento--Roseville--Arden-Arcade, CA",Very Large,0.057,0.059,0.058,0.056,0.055,0.058,-0.1,0.3,33,147,7,44
41180,"St. Louis, MO-IL",Very Large,0.043,0.044,0.042,0.043,0.042,0.044,0,0.2,48,106,9,27
41420,"Salem, OR",Midsized,0.022,0.025,0.026,0.027,0.028,0.025,0,-0.3,48,9,22,6
41500,"Salinas, CA",Midsized,0.019,0.021,0.023,0.023,0.031,0.033,1.2,0.2,172,124,68,50
41540,"Salisbury, MD-DE",Midsized,0.046,0.045,0.045,0.046,0.047,0.05,0.5,0.3,125,147,44,58
41620,"Salt Lake City, UT",Very Large,0.044,0.041,0.043,0.044,0.045,0.045,0.4,0,100,65,36,11
41700,"San Antonio-New Braunfels, TX",Very Large,0.042,0.043,0.043,0.043,0.047,0.048,0.5,0.1,125,99,44,23
41740,"San Diego-Carlsbad, CA",Very Large,0.036,0.036,0.037,0.036,0.038,0.04,0.4,0.2,108,124,37,32
41860,"San Francisco-Oakland-Berkeley, CA",Very Large,0.03,0.031,0.031,0.034,0.034,0.036,0.5,0.2,116,106,40,27
41940,"San Jose-Sunnyvale-Santa Clara, CA",Very Large,0.034,0.037,0.036,0.033,0.035,0.035,-0.2,0,24,65,5,11
42020,"San Luis Obispo-Paso Robles, CA",Midsized,0.033,0.031,0.032,0.03,0.035,0.039,0.8,0.4,156,152,58,61
42100,"Santa Cruz-Watsonville, CA ",Midsized,0.029,0.028,0.03,0.029,0.026,0.027,-0.1,0.1,32,99,14,39
42200,"Santa Maria-Santa Barbara, CA ",Midsized,0.042,0.036,0.038,0.041,0.04,0.042,0.6,0.2,141,124,51,50
42220,"Santa Rosa-Petaluma, CA ",Midsized,0.03,0.031,0.031,0.033,0.034,0.034,0.3,0,87,65,34,26
42340,"Savannah, GA",Midsized,0.036,0.039,0.04,0.039,0.045,0.045,0.6,0,137,65,49,26
42540,"Scranton--Wilkes-Barre, PA ",Large,0.037,0.038,0.036,0.037,0.036,0.036,-0.2,0,22,65,8,28
42660,"Seattle-Tacoma-Bellevue, WA",Very Large,0.03,0.029,0.028,0.025,0.025,0.025,-0.4,0,10,65,1,11
43340,"Shreveport-Bossier City, LA",Midsized,0.048,0.056,0.056,0.065,0.058,0.069,1.3,1.1,178,188,72,80
43620,"Sioux Falls, SD ",Midsized,0.036,0.04,0.047,0.039,0.045,0.041,0.1,-0.4,64,4,28,4
43780,"South Bend-Mishawaka, IN-MI",Midsized,0.028,0.03,0.032,0.033,0.034,0.036,0.6,0.2,137,106,49,42
43900,"Spartanburg, SC",Midsized,0.036,0.04,0.042,0.046,0.048,0.049,0.9,0.1,162,99,63,39
44060,"Spokane-Spokane Valley, WA",Large,0.044,0.049,0.045,0.041,0.043,0.042,-0.7,-0.1,6,37,4,15
44140,"Springfield, MA",Large,0.019,0.021,0.027,0.026,0.033,0.034,1.3,0.1,176,99,53,37
44180,"Springfield, MO",Midsized,0.034,0.037,0.037,0.038,0.038,0.044,0.7,0.6,146,176,55,72
44700,"Stockton, CA",Large,0.031,0.038,0.038,0.035,0.036,0.039,0.1,0.3,64,147,21,45
45060,"Syracuse, NY",Large,0.036,0.034,0.038,0.041,0.041,0.042,0.8,0.1,156,99,47,37
45220,"Tallahassee, FL",Midsized,0.047,0.04,0.046,0.046,0.052,0.056,1.6,0.4,185,166,76,65
45300,"Tampa-St. Petersburg-Clearwater, FL",Very Large,0.044,0.042,0.042,0.042,0.042,0.043,0.1,0.1,51,70,12,14
45780,"Toledo, OH",Large,0.032,0.026,0.025,0.028,0.028,0.026,0,-0.2,48,18,17,10
45940,"Trenton-Princeton, NJ",Midsized,0.054,0.049,0.046,0.042,0.042,0.047,-0.2,0.5,22,172,10,69
46060,"Tucson, AZ",Very Large,0.056,0.055,0.056,0.055,0.057,0.057,0.2,0,75,65,21,11
46140,"Tulsa, OK",Large,0.044,0.045,0.041,0.038,0.036,0.038,-0.7,0.2,6,124,4,42
46220,"Tuscaloosa, AL",Midsized,0.018,0.018,0.022,0.026,0.023,0.028,1,0.5,168,173,66,70
