cbsa_code,cbsatitle,metrosize,work_feb20,work_mar20,work_apr20,work_may20,work_jun20,work_jul20,work_aug20,work_sep20,work_oct20,work_nov20,work_dec20,work_jan21,work_feb21,work_mar21,work_apr21,chg_imp,chg_traj,rank_imp,szrank_imp,rank_traj,szrank_traj
28660,"Killeen-Temple, TX",Midsized,-2.697130504995584,-19.87252455949783,-40.47740423679352,-29.47771644592285,-26.12844145298004,-30.76470446586609,-26.09962296485901,-23.2386628985405,-18.90561693906784,-22.81820404529572,-26.05691587924957,-22.64934438467026,-31.75616204738617,-18.557268679142,-17.47378152608871,-17.473782,1.08,24,22,42,21
28700,"Kingsport-Bristol, TN-VA",Midsized,1.476869631558657,-10.99377357959747,-34.27960276603699,-25.40856111049652,-20.86294233798981,-25.0240250825882,-22.41488480567932,-21.81408023834229,-19.54062724113464,-22.42603588104248,-26.38794755935669,-22.02903187274933,-18.79219591617584,-17.39276814460754,-17.68558549880981,-17.685585,-.28999999,27,25,106,46
28940,"Knoxville, TN",Large,1.246071226894855,-16.04808966815472,-41.79454427957535,-29.91531586647034,-24.57838878035545,-28.37072816491127,-24.48963132500648,-23.5567529052496,-20.87004202604294,-22.92687404155731,-29.01335534453392,-23.88061919808388,-21.11124269664288,-21.73037374019623,-21.10665200650692,-21.106651,.62,53,11,72,22
29180,"Lafayette, LA",Midsized,-4.627835690975189,-13.19031012058258,-36.42414212226868,-24.52889347076416,-21.63022136688232,-27.85277962684631,-27.94757175445557,-21.99770212173462,-21.08398771286011,-19.73972904682159,-21.75943827629089,-18.70148348808289,-21.11154007911682,-14.20781290531158,-16.67596340179443,-16.675964,-2.47,16,15,180,78
29460,"Lakeland-Winter Haven, FL",Large,-.4000000059604645,-15.22580623626709,-41.06666564941406,-32.58064651489258,-27.60000038146973,-32.22580718994141,-29.83870887756348,-27.89999961853027,-23.80645179748535,-26.60000038146973,-26.58064460754395,-23.6129035949707,-21.10714340209961,-22,-21.16666603088379,-21.166666,.82999998,55,12,57,18
29540,"Lancaster, PA",Large,1.533333301544189,-18.54838752746582,-45.16666793823242,-35.45161437988281,-27.4333324432373,-29.41935539245605,-25.32258033752441,-25.39999961853027,-20.96774101257324,-25.5666675567627,-31.93548393249512,-26.6129035949707,-26.53571510314941,-19.96774101257324,-21.4333324432373,-21.433332,-1.47,61,14,156,46
29620,"Lansing-East Lansing, MI",Large,-.7823833767324686,-21.85393023490906,-55.7529034614563,-43.28203248977661,-31.35423302650452,-33.22008204460144,-30.33820080757141,-30.31460332870483,-26.16573047637939,-31.9455554485321,-35.49904155731201,-30.6188280582428,-28.04039883613586,-26.79842448234558,-30.28849911689758,-30.2885,-3.49,166,54,187,56
29700,"Laredo, TX",Midsized,1.200000047683716,-15.09677410125732,-41.66666793823242,-31.12903213500977,-26.03333282470703,-33.90322494506836,-29.32258033752441,-27.0666675567627,-22.51612854003906,-24.10000038146973,-27.16129112243652,-27.19354820251465,-28.1785717010498,-21.96774101257324,-21.86666679382324,-21.866667,.1,70,52,94,39
29820,"Las Vegas-Henderson-Paradise, NV",Very Large,-1.799999952316284,-25.67741966247559,-56,-47.58064651489258,-36.79999923706055,-38.12903213500977,-35.67741775512695,-34.86666488647461,-31.54838752746582,-34.13333511352539,-36.80644989013672,-35.25806427001953,-32.35714340209961,-30.90322494506836,-29.60000038146973,-29.6,1.3,160,34,32,6
30460,"Lexington-Fayette, KY",Large,.405933708883822,-18.67901033163071,-46.76521027088165,-37.0929571390152,-29.16827940940857,-32.25340437889099,-28.58997344970703,-28.64140486717224,-25.7633541226387,-29.37258940935135,-33.31814897060394,-29.31541746854782,-31.08698034286499,-25.01523995399475,-24.19398140907288,-24.193981,.81999999,97,33,58,19
30700,"Lincoln, NE",Midsized,3.383281901478767,-16.61011862754822,-41.89003551006317,-34.76967346668243,-28.14070773124695,-31.59391450881958,-25.40961813926697,-22.24105900526047,-17.99939346313477,-23.58512401580811,-26.89797377586365,-23.04753541946411,-17.52401095628738,-15.33520179986954,-14.78552460670471,-14.785524,.55000001,8,8,78,34
30780,"Little Rock-North Little Rock-Conway, AR",Large,.5650502499192953,-14.93442100286484,-36.35465505719185,-29.88796764612198,-25.93490424752235,-29.81504327058792,-27.52596467733383,-27.16237992048264,-23.37825390696526,-27.82124194502831,-29.96078404784203,-26.64941662549973,-35.86223918199539,-24.46341589093208,-22.80319058895111,-22.80319,1.66,80,24,22,7
30980,"Longview, TX",Midsized,-.3922665640711784,-15.60353541374207,-33.04580593109131,-24.52399301528931,-22.230229139328,-27.17806148529053,-23.77782726287842,-20.24533224105835,-17.10741114616394,-21.33972477912903,-24.10284352302551,-20.03220677375793,-28.3214955329895,-16.54531168937683,-15.84361815452576,-15.843618,.69999999,12,11,66,30
31080,"Los Angeles-Long Beach-Anaheim, CA",Very Large,-.365293100476265,-21.68490839004517,-48.87827205657959,-40.96484088897705,-34.53195953369141,-37.69662857055664,-35.32258129119873,-35.7801513671875,-32.05835437774658,-34.70686626434326,-40.48652648925781,-39.52434539794922,-34.89901065826416,-34.06766033172607,-33.41648054122925,-33.416481,.64999998,181,46,70,19
31140,"Louisville/Jefferson County, KY-IN",Very Large,.8219167378265411,-18.39127819240093,-45.54698777198792,-36.46573832631111,-29.0996632874012,-31.00269457697868,-27.95987524092197,-28.28658740222454,-25.1575716137886,-28.68605187535286,-31.82889291644096,-28.44962042570114,-29.47279033064842,-25.85825552046299,-26.79558327794075,-26.795584,-.94,130,21,129,39
31180,"Lubbock, TX",Midsized,2.735540896654129,-13.54818150401115,-36.27881550788879,-27.89151167869568,-23.3493786752224,-28.58319342136383,-23.94329786300659,-20.38975903391838,-18.56340149044991,-20.82016718387604,-22.34561508893967,-19.08747571706772,-21.12584316730499,-17.29134503006935,-16.04203593730927,-16.042036,1.25,13,12,34,17
31340,"Lynchburg, VA",Midsized,.3809827584773302,-14.19553571939468,-35.82284605503082,-29.20479965209961,-24.79275977611542,-28.26199746131897,-25.50456929206848,-23.13527750968933,-19.20104134082794,-22.44301962852478,-27.43453764915466,-25.32509803771973,-25.24011766910553,-18.95027428865433,-20.69748175144196,-20.697481,-1.75,48,41,166,68
31540,"Madison, WI",Large,2.75467524677515,-21.97357314825058,-52.09029388427734,-42.69320273399353,-32.94438678026199,-35.22094786167145,-31.20863008499146,-31.7250257730484,-28.76480859518051,-32.42909944057465,-34.75741708278656,-30.55260396003723,-29.12145620584488,-28.25932955741882,-27.42389380931854,-27.423893,.83999997,136,46,56,17
31700,"Manchester-Nashua, NH",Midsized,-4.533333301544189,-18.64516067504883,-47.03333282470703,-39.29032135009766,-30.9333324432373,-32.51612854003906,-28.51612854003906,-26.13333320617676,-22.64516067504883,-26.73333358764648,-31.74193572998047,-26.3870964050293,-25.71428489685059,-22.87096786499023,-24.86666679382324,-24.866667,-2,106,61,167,69
32580,"McAllen-Edinburg-Mission, TX",Large,2.200000047683716,-19.03225898742676,-46.83333206176758,-32.32258224487305,-29.33333396911621,-41.80644989013672,-34.51612854003906,-33.40000152587891,-29.19354820251465,-29.70000076293945,-31.41935539245605,-29.16129112243652,-30.21428489685059,-25.35483932495117,-24.29999923706055,-24.299999,1.05,99,35,44,14
32820,"Memphis, TN-MS-AR",Very Large,.5278234551660717,-15.23735204339027,-37.75114575028419,-29.48560214042664,-25.57952697575092,-30.66733160614967,-27.27463755011559,-26.82373587787151,-23.94677828252316,-26.68735190480947,-29.15797860920429,-26.79719480872154,-34.17656600475311,-22.61677508056164,-22.96241371333599,-22.962414,-.34999999,82,3,109,34
32900,"Merced, CA",Midsized,-4.866666793823242,-13.06451606750488,-35.76666641235352,-27.41935539245605,-23.73333358764648,-29.41935539245605,-26.29032325744629,-23.53333282470703,-20.6129035949707,-24.66666603088379,-29.09677505493164,-26.87096786499023,-23.53571510314941,-20.58064460754395,-20.76666641235352,-20.766666,-.19,49,42,104,44
