cbsa_code,cbsatitle,topmetro,metrosize,price1_2019,price2_2019,price3_2019,price4_2019,price5_2019,price6_2019,price7_2019,price8_2019,price9_2019,price1_2020,price2_2020,price3_2020,price4_2020,price5_2020,price6_2020,price7_2020,price8_2020,price9_2020,price10_2020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
14500,"Boulder, CO ",1,Midsized,599500,600050,597092.88,617092.88,617550,624950,629550,626478.56,637550,622050,650235,692050,691550,700050,725050,727550,748950,705050,722153,12.83,2.4300001,54,16,22,8
14740,"Bremerton-Silverdale-Port Orchard, WA",1,Midsized,414994,435050,460764.28,482550,489994,492438,497050,488764.28,476764.28,462550,467050,480494,489550,500049,495050,500000,495050,477244,479050,.83999997,.38,182,59,75,25
14860,"Bridgeport-Stamford-Norwalk, CT",1,Large,727050,738050,747150,754500,754000,739050,722550,710478.56,699050,712050,715050,702500,722050,749050,740050,727050,699050,704550,709050,1.4299999,.63999999,179,50,54,13
15180,"Brownsville-Harlingen, TX",1,Midsized,223500,222550,226978.58,229800,235000,234050,239500,239478.58,240050,239950,239050,248050,248050,255050,265000,267487.5,255050,262050,260000,6.4499998,-.77999997,133,105,52,46
15380,"Buffalo-Cheektowaga, NY",1,Very Large,179950,182500,198521.42,212450,220050,224050,219950,211421.42,200038.5,197950,199950,202550,219950,232050,239950,242450,225050,229950,214950,7.5,-6.52,118,184,33,51
15940,"Canton-Massillon, OH ",1,Midsized,144500,142500,157907.14,171500,169450,169950,162050,163292.86,164950,157800,159950,169950,180000,182050,189950,190000,179950,175050,165050,2.55,-5.71,169,180,68,77
15980,"Cape Coral-Fort Myers, FL",1,Large,299950,305050,307335.72,305050,299950,299950,299917,298755.16,297438.16,325045,331410,335050,327050,330049,337500,339700,335050,335000,339050,12.27,1.21,61,34,24,9
16300,"Cedar Rapids, IA",1,Midsized,213950,220050,224640,229590,227000,234950,235740,232292.86,225450,209500,215050,217550,222025,234950,234950,230000,224950,218950,215050,2.3800001,-1.78,171,131,69,55
16620,"Charleston, WV ",1,Midsized,149250,149950,151064.28,151114.28,150050,150050,149950,149050,149500,147750,148050,150000,156300,162050,161250,159950,160745,159500,159950,6.6700001,.28,129,62,50,26
16700,"Charleston-North Charleston, SC",1,Large,394750,408495,418758.56,429050,431052.5,434950,435000,428364.28,418500,422500,430050,442550,436045,450050,451050,462550,472550,483040,475050,14.11,-1.65,43,129,18,39
16740,"Charlotte-Concord-Gastonia, NC-SC",1,Very Large,325050,329950,341050,349500,350050,354050,350000,345601.44,340000,344545,348550,350000,340000,350049,362800,369550,370050,368235,365353,8.96,-.77999997,91,105,25,31
16860,"Chattanooga, TN-GA",1,Large,269050,268950,282478.56,294950,295050,289950,289850,289721.44,289950,299050,304050,309500,314550,329950,336250,339500,335050,328825,320050,12.28,-2.6700001,59,154,23,47
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,Very Large,297550,312450,328007.16,339950,339950,339050,332500,327708.84,322500,302450,319950,328500,324950,329950,339950,348500,349050,349300,344950,9.4899998,-1.25,84,121,22,35
17140,"Cincinnati, OH-KY-IN",1,Very Large,239495,252500,268135.72,280425,290050,289052,287000,277858.56,272035,267450,284530,299950,304495,325050,337000,339950,327304,318050,309950,16.280001,-2.55,29,151,4,42
17300,"Clarksville, TN-KY ",1,Midsized,230050,237200,245307.14,251557.14,252040,253000,254000,253578.58,251500,249998,250046,253000,253000,260050,265050,262450,259178,271050,284550,12.58,4.98,57,1,23,1
17460,"Cleveland-Elyria, OH",1,Very Large,179950,186500,198521.42,208521.42,202550,210000,207050,201150,198000,182500,189550,202450,199995,216040,227050,235050,232450,216000,199950,3.2,-7.4299998,165,185,47,52
17780,"College Station-Bryan, TX",1,Midsized,266950,259950,259335.72,267050,270000,269950,269950,269950,269950,265000,269950,270550,275050,279050,282550,273800,264950,252550,250050,-7.3699999,-.99000001,190,117,83,51
17820,"Colorado Springs, CO",1,Large,392541.5,396645,410707.16,424802.5,427550,429050,435000,432800,427425,473994,473880,465273,472504,474950,475050,479500,465050,450973,450050,5.29,-.2,146,90,49,26
17900,"Columbia, SC",1,Large,228250,227240,234184.28,239950,239107.5,239050,235000.5,232850,230000,232934.5,234950,239550,242580,247871,249750,250050,251050,249950,245450,7.9000001,-1.8,108,133,37,41
17980,"Columbus, GA-AL",1,Midsized,167940,169950,171728.58,173778.58,169950,179950,181215.5,186521.42,189521.42,196750,198550,192950,189900,204950,224950,219750,217950,210300,205050,3.6900001,-2.5,162,150,64,65
18140,"Columbus, OH",1,Very Large,252450,262550,282807.16,299950,307350,319950,317500,299335.72,287050,285000,299827,307244,309550,324950,332550,332000,316386,300450,305050,8.9700003,1.53,90,28,24,7
18580,"Corpus Christi, TX",1,Midsized,247750,248500,251907.14,257500,261550,260050,263800,262007.14,259500,264109.5,265050,270414,269512.5,279950,287550,287550,289950,292500,295050,13.5,.87,48,43,19,20
18880,"Crestview-Fort Walton Beach-Destin, FL ",1,Midsized,375550,382500,400764.28,417500,424050,429050,437100,437878.56,441650,473230,479050,481800,471550,471550,459500,463550,449950,449550,439050,-1.77,-2.3399999,187,148,80,63
19100,"Dallas-Fort Worth-Arlington, TX",1,Very Large,338300,344574,351815,359792.5,360050,358834,353500,347807.16,344000,339534,340050,342545,339336,349950,356300,359750,360040,359550,356040,4.1300001,-.98000002,158,116,44,33
